VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;Y_RD;X_RD;OBJ_SOORT;IALA_CAT;N_WGS_gms;E_WGS_gms;N_WGS_gm;E_WGS_gm;Obj_vorm_c;OBJ_VORM;Obj_kleur_c;OBJ_KLEUR;Kleurpatr_c;KLEURPATR;V_TT_c;TT_TOPTEK;TT_kleur_c;TT_KLEUR;TT_pat_c;TT_KLR_PAT;Sign_kar_c;SIGN_KAR;Sign_gr_c;SIGN_GROEP;SIGN_PERIO;RACON_CODE;Licht_kl_c;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0101;A 21;#;01.01.2005; 421540,5036; 72384,1773;SK31 630;4;51.46.35.11;004.11.24.30;51.46.5852;004.11.4050;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,190083;51,776419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0102;A 19;#;01.01.2005; 0,0000; 0,0000;SK31 630;4;51.46.36.81;004.10.59.79;51.46.6135;004.10.9965;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,183275;51,776892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0103;A 17;#;01.01.2005; 0,0000; 0,0000;SK31 630;4;51.46.42.95;004.10.27.79;51.46.7158;004.10.4632;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,174386;51,778597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0104;A 18;#;01.01.2005; 0,0000; 0,0000;T42;4;51.46.48.11;004.10.32.29;51.46.8018;004.10.5382;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,175636;51,780031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0105;A 15;#;01.01.2005; 0,0000; 0,0000;SK31 630;4;51.46.48.30;004.09.57.64;51.46.8050;004.09.9607;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,166011;51,780083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0106;A 16;#;01.01.2005; 0,0000; 0,0000;T52;4;51.46.53.11;004.10.02.29;51.46.8852;004.10.0382;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,167303;51,781419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0107;A 13;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.01.11;004.09.27.29;51.47.0185;004.09.4548;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,157581;51,783642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0108;A 14;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.08.11;004.09.33.29;51.47.1352;004.09.5548;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,159247;51,785586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0109;A 11;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.13.88;004.08.56.29;51.47.2313;004.08.9382;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,148969;51,787189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0110;A 12;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.23.11;004.09.06.29;51.47.3852;004.09.1048;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,151747;51,789753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0111;A 9;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.27.49;004.08.12.73;51.47.4582;004.08.2122;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,136869;51,790969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0112;A 10;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.38.11;004.08.19.29;51.47.6352;004.08.3215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,138692;51,793919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0113;A 7;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.38.44;004.07.37.29;51.47.6407;004.07.6215;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,127025;51,794011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0114;A 8;#;01.01.2005; 0,0000; 0,0000;SK42 500;4;51.47.47.11;004.07.43.29;51.47.7852;004.07.7215;5;spar;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,128692;51,796419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AARDAPPELENGAT;VW-A    -0115;A 5;#;01.01.2005; 0,0000; 0,0000;SK41 500;4;51.47.51.11;004.07.04.28;51.47.8518;004.07.0713;5;spar;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;4,117856;51,797531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
